epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro,lr
1,3.787637681936598,0.22403070798687214,0.9798033767899124,0.952312952001499,0.9852935483545178,0.9656702938173972,0.001
2,0.15672225969803186,0.08993046894617153,0.9918786065398589,0.9808785476847324,0.9858579292825408,0.9814312783311038,0.0009816326530612245
3,0.06507154617376767,0.1691684626079245,0.9853601196836931,0.9728210883632796,0.9870416859215249,0.9771955071712567,0.000963265306122449
4,0.03791454827189584,0.0725591550129484,0.9907031416969438,0.9844191639245277,0.986696338144971,0.9847796034349484,0.0009448979591836734
5,0.024119180541408457,0.05794810967171464,0.9930540713827741,0.9931854856280329,0.983462481594718,0.9879459680076828,0.000926530612244898
6,0.012152973693073634,0.1818776574289786,0.9721094250908314,0.9603341274518036,0.9905309915631665,0.9677576919034157,0.0009081632653061225
7,0.008257486299250928,0.024229439612022136,0.9954050010686044,0.9890363638010629,0.9957628031686525,0.9922894318902641,0.000889795918367347
8,0.011472436888602056,0.047498020181891386,0.9932677922633041,0.995332465495798,0.9656295415329793,0.9708454178412206,0.0008714285714285715
9,0.004816080895974314,0.019714385238999196,0.9950844197478094,0.9931065352746751,0.9894019599536725,0.9909389286678658,0.0008530612244897959
10,0.004584253905972701,0.04218223903012178,0.991771746099594,0.9832895853904863,0.992209985632178,0.9871316417441088,0.0008346938775510204
11,0.003964025394119952,0.04484888277832306,0.992519769181449,0.9792511124011042,0.9919330950185393,0.9847899675279861,0.0008163265306122449
12,0.010680326310140225,0.03165358955629364,0.9951912801880743,0.997348651139366,0.9851906126227904,0.9909903925173558,0.0007979591836734694
13,0.0017217556789404236,0.022559024832046436,0.9943363966659543,0.9904067523330546,0.9906485411714235,0.9902551326571571,0.000779591836734694
14,0.0017799530606026758,0.015452573994224625,0.9967941867920496,0.9946495142466966,0.9922134022503799,0.993342368777832,0.0007612244897959184
15,8.53428037540509e-06,0.01664199281636892,0.9964736054712545,0.9950321881160062,0.9895135938698755,0.9921645619263155,0.000742857142857143
16,2.7374841919716963e-06,0.015559880398420415,0.9969010472323147,0.9950529175684623,0.9917570559699684,0.9933195278154512,0.0007244897959183674
17,2.966555582394924e-07,0.015585105087710913,0.9969010472323147,0.9950529175684623,0.9917570559699684,0.9933195278154512,0.0007061224489795919
18,2.0183241445188498e-07,0.015707732993450966,0.9970079076725796,0.9950709529707213,0.9923609207042678,0.9936273020763142,0.0006877551020408163
19,1.3964518601581992e-07,0.015867151199662755,0.9969010472323147,0.9950529175684623,0.9917570559699684,0.9933195278154512,0.0006693877551020408
20,9.426655467013265e-08,0.015897444075166436,0.9969010472323147,0.9950529175684623,0.9917570559699684,0.9933195278154512,0.0006510204081632653
21,6.032558267107919e-08,0.016137886038133525,0.9970079076725796,0.9962521208879642,0.9923609207042678,0.9941499995051901,0.0006326530612244898
22,3.7572699678335994e-08,0.016223368717920315,0.9971147681128446,0.9966037529428109,0.9923661264347358,0.9943250995505459,0.0006142857142857143
23,2.2623352833555902e-08,0.016172120520209124,0.9971147681128446,0.9966037529428109,0.9923661264347358,0.9943250995505459,0.0005959183673469389
24,1.3469000704287995e-08,0.01649176612207493,0.9971147681128446,0.9966037529428109,0.9923661264347358,0.9943250995505459,0.0005775510204081633
25,7.832141351434994e-09,0.01655535328403952,0.9971147681128446,0.9966037529428109,0.9923661264347358,0.9943250995505459,0.0005591836734693878
26,4.637286408562484e-09,0.01656711239824,0.9971147681128446,0.9966037529428109,0.9923661264347358,0.9943250995505459,0.0005408163265306123
27,2.7361890272321716e-09,0.016799338741034297,0.9970079076725796,0.9965985666948589,0.9920504698690793,0.9941637740814628,0.0005224489795918367
28,1.7144676615440444e-09,0.01658217988125542,0.9971147681128446,0.9966037529428109,0.9923661264347358,0.9943250995505459,0.0005040816326530613
29,1.0438640966727717e-09,0.016620472473171905,0.9971147681128446,0.9966037529428109,0.9922447200633295,0.9942645216582408,0.0004857142857142858
30,7.686635685247172e-10,0.01638278840508061,0.9970079076725796,0.9965985666948589,0.9920504698690793,0.9941637740814628,0.00046734693877551023
31,6.895829571829642e-10,0.016219816094114534,0.9970079076725796,0.9965985666948589,0.9920504698690793,0.9941637740814628,0.00044897959183673474
32,6.516242608212216e-10,0.01584079789073496,0.9969010472323147,0.99533592484914,0.9920452641386112,0.9935975585264436,0.00043061224489795915
33,6.421345901893697e-10,0.015485576586129757,0.9969010472323147,0.99533592484914,0.9920452641386112,0.9935975585264436,0.00041224489795918377
34,6.294816891317515e-10,0.015624735857352409,0.9971147681128446,0.995422901848457,0.9922923472003098,0.9937648937013682,0.0003938775510204083
35,4.681572378843405e-10,0.01587028233770138,0.9971147681128446,0.9955628240692399,0.9922014360526542,0.9937900566814045,0.0003755102040816327
36,3.954030685869666e-10,0.01625870032947392,0.9975422098739046,0.9973766292481968,0.9925022145859644,0.9947842950212018,0.0003571428571428572
37,3.4479146397940814e-10,0.016007538133975308,0.9976490703141697,0.9975220681699221,0.9925074203164326,0.9948601932887546,0.0003387755102040816
38,2.2142571986425241e-10,0.016749302095205518,0.9974353494336397,0.9975113681023929,0.9922170532440586,0.994708708467127,0.0003204081632653062
39,1.1071286002639765e-10,0.017544200945929515,0.9976490703141697,0.9975220681699221,0.9925074203164326,0.9948601932887546,0.0003020408163265306
40,8.8570288926124e-11,0.0185060940164598,0.9976490703141697,0.9975220681699221,0.9925074203164326,0.9948601932887546,0.00028367346938775514
41,6.959094129909743e-11,0.019957407559211625,0.9972216285531096,0.9975013386679328,0.9903514230215463,0.9937484489499444,0.00026530612244897965
42,4.744836906756643e-11,0.018900549745883777,0.9976490703141697,0.9975220681699221,0.9925074203164326,0.9948601932887546,0.00024693877551020405
43,3.4795470649548715e-11,0.020852781667341728,0.9974353494336397,0.9975116995399039,0.9919345621046856,0.994564041098402,0.00022857142857142868
44,2.5305796836035427e-11,0.021038639281339665,0.9974353494336397,0.9975116995399039,0.9919345621046856,0.994564041098402,0.00021020408163265308
45,1.8979347627026572e-11,0.021422371083938532,0.9974353494336397,0.9975116995399039,0.9919345621046856,0.994564041098402,0.0001918367346938776
46,1.5816123022522142e-11,0.022306738681578023,0.9971147681128446,0.9974961611384947,0.9898463725164959,0.9934862937994448,0.0001734693877551021
47,9.489673813513286e-12,0.022116799275391067,0.9973284889933747,0.9975065181347067,0.9905456732157965,0.9938491955583443,0.0001551020408163265
48,6.326449209008857e-12,0.02215734364627979,0.9974353494336397,0.9975116995399039,0.9919345621046856,0.994564041098402,0.00013673469387755113
49,3.1632246045044283e-12,0.02223983748871342,0.9976490703141697,0.9975220681699221,0.9925389859729982,0.9948765530807745,0.00011836734693877553
50,6.326449209008857e-12,0.022618813201671268,0.9975422098739046,0.9975168828846124,0.9922817843269076,0.9947435508475105,0.00010000000000000005
