epoch,train_total_loss,train_hard_loss,train_distill_loss,val_total_loss,val_hard_loss,val_distill_loss,accuracy,precision_macro,recall_macro,f1_macro,tau,lr
1,50.04230955521,6.709889749948471,2.23371988604202,32.103965617418545,2.6075652941533223,1.500895664818803,0.8320153879033981,0.5493813446885909,0.5066120312646234,0.5092596933091323,1.0,0.01
2,27.41208093371202,1.4423892074866695,1.3129084782571807,24.053810105769138,0.7352667417128843,1.1732798378853289,0.9086343235734131,0.7717548196206129,0.7701093139858306,0.7618200880283358,0.8286427728546845,0.009816326530612245
3,22.995170695497144,0.6990459245825735,1.1217966956589458,22.05082479494457,0.5360354973095918,1.0810998153880154,0.9405855952126523,0.8543140013534316,0.7837868859214242,0.8017545127678247,0.6866488450043001,0.00963265306122449
4,21.46482004798193,0.489302151426149,1.0536689161590056,21.030426373515382,0.3564286212757748,1.0372641746700766,0.9523402436418038,0.9185413062210428,0.8745553453051176,0.8818237963822022,0.5689866029018297,0.009448979591836736
5,20.64750821450103,0.39686096163285495,1.0165009719895397,20.561197733364445,0.40065192917871273,1.01203381075108,0.9545843128873691,0.8785201439868552,0.8579978995549977,0.8598739331499232,0.4714866363457394,0.009265306122448979
6,20.20528475625724,0.35903102675620896,0.9959029983336687,20.32467046184503,0.28930781000389194,1.0046612129529384,0.96163710194486,0.9324245602968012,0.889631161229722,0.894076727765937,0.3906939937054617,0.009081632653061224
7,19.898341875259003,0.32859114396310757,0.9817734474887301,20.066583990108054,0.2711123914258618,0.9924847073064805,0.9666595426373157,0.9401511177961136,0.8971858678834912,0.9026347022760337,0.3237457542817644,0.00889795918367347
8,19.676472850585576,0.30477292784562304,0.9716327253094286,19.839477198682907,0.2671617293501842,0.9812873919108506,0.968903611882881,0.9362487705386441,0.9024099190215211,0.9125635395971526,0.2682695795279726,0.008714285714285714
9,19.51175941520326,0.2921616159583788,0.9639015064930098,19.709408443945804,0.2700748128414042,0.9746674292106409,0.969758495405001,0.936689869437152,0.9213011067280834,0.9249127227232121,0.2222996482526195,0.00853061224489796
10,19.391513359342316,0.28237009865251,0.9582808668342788,19.67075901679642,0.2537865727517982,0.9733864892418248,0.9710408206881812,0.9387239292925464,0.9260967758156516,0.9278703586168802,0.1842069969326716,0.008346938775510205
