fold,reused,best_epoch,accuracy,precision_macro,recall_macro,f1_macro,train_rows,val_rows,binary_features,trainable_parameters,selected_attack_ranges
0,False,48,0.9924371538133788,0.9849271994142144,0.9865517300134354,0.9854435050390449,37656,9388,298,117312,173
1,False,48,0.9912048320440818,0.9840234794681417,0.9839960003300724,0.9837981758375334,37607,9437,298,117312,173
2,False,49,0.9922800338409475,0.9896627839498122,0.9817218912977493,0.9852954274267235,37588,9456,297,117216,172
3,False,42,0.9904306220095693,0.9880051869485954,0.9752784995013106,0.9809019064034911,37639,9405,297,117216,172
4,True,43,0.9931609318230392,0.9890379744721168,0.9842984869343732,0.986351772632801,37686,9358,298,117312,173
