source_attack,sensor,low,high,target_coverage,other_coverage,specificity_score,fallback_selected,source_attacks,feature_name
Attack_39,AIT201,170.0205,170.0205,1.0,0.004508009767354496,0.9954919902326455,False,Attack_39,AIT201_ATTACK_RANGE_000
Attack_40,AIT201,170.0526,170.0846,0.9789915966386554,0.0014725568942436412,0.9775190397444118,False,Attack_40,AIT201_ATTACK_RANGE_001
Attack_10,AIT201,263.1377,263.2018,1.0,0.02800320341697811,0.9719967965830218,False,Attack_10,AIT201_ATTACK_RANGE_002
Attack_35,AIT201,176.6534,176.8777,0.9844155844155844,0.01881568690696987,0.9655998975086145,False,Attack_35,AIT201_ATTACK_RANGE_003
Attack_25,AIT201,220.2961,220.3922,0.9734693877551021,0.013181303574316674,0.9602880841807854,False,Attack_25,AIT201_ATTACK_RANGE_004
Attack_29,AIT201,181.1074,181.4278,1.0,0.04051639060041076,0.9594836093995892,False,Attack_29,AIT201_ATTACK_RANGE_005
Attack_33,AIT201,177.4225,177.4545,0.9549295774647887,0.002094915800499557,0.9528346616642891,False,Attack_33,AIT201_ATTACK_RANGE_006
Attack_6,AIT201,263.4261,263.4581,0.9745222929936306,0.022975608452886646,0.951546684540744,False,Attack_6,AIT201_ATTACK_RANGE_007
Attack_13,AIT201,260.2538,260.382,0.9623655913978495,0.013100903694989573,0.9492646877028599,False,Attack_13,AIT201_ATTACK_RANGE_008
Attack_30,AIT201,181.1074,181.2356,0.9541088580576307,0.0072303620637908924,0.9468784959938398,False,Attack_30,AIT201_ATTACK_RANGE_009
Attack_11,AIT201,263.1056,263.1697,0.9643652561247216,0.018390371307789654,0.9459748848169319,False,Attack_11,AIT201_ATTACK_RANGE_010
Attack_22,AIT201,239.6821,239.8103,0.9459459459459459,0.00010747487774732656,0.9458384710681986,False,Attack_22,AIT201_ATTACK_RANGE_011
Attack_23,AIT201,234.0746,234.4591,0.9444444444444444,0.001539292465568458,0.9429051519788759,False,Attack_23,AIT201_ATTACK_RANGE_012
Attack_38,AIT201,169.8923,169.9244,0.9777777777777777,0.0371758156464952,0.9406019621312826,False,Attack_38,AIT201_ATTACK_RANGE_013
Attack_41,AIT201,168.9951,169.7962,0.9574626865671642,0.021021849481350694,0.9364408370858135,False,Attack_41,AIT201_ATTACK_RANGE_014
Attack_17,AIT201,260.0936,260.3179,0.975609756097561,0.04020100502512563,0.9354087510724354,False,Attack_17,AIT201_ATTACK_RANGE_015
Attack_24,AIT201,219.9756,220.3922,0.9649805447470817,0.03281455090943184,0.9321659938376499,False,Attack_24,AIT201_ATTACK_RANGE_016
Attack_27,AIT201,188.5734,190.2717,0.9327420546932742,0.0027873602870153165,0.9299546944062589,False,Attack_27,AIT201_ATTACK_RANGE_017
Attack_7,AIT201,263.5222,263.6824,0.924198250728863,0.006980802792321117,0.9172174479365418,False,Attack_7,AIT201_ATTACK_RANGE_018
Attack_16,AIT201,261.2151,262.0482,0.9276018099547512,0.016645703428158534,0.9109561065265926,False,Attack_16,AIT201_ATTACK_RANGE_019
Attack_20,AIT201,251.2497,251.3138,0.9177215189873418,0.010195320884309939,0.9075261981030318,False,Attack_20,AIT201_ATTACK_RANGE_020
Attack_19,AIT201,251.1856,251.3458,0.9420289855072463,0.03614135523394238,0.905887630273304,False,Attack_19,AIT201_ATTACK_RANGE_021
Attack_1,AIT201,262.3045,262.6891,0.9441489361702128,0.03876642415028776,0.905382512019925,False,Attack_1,AIT201_ATTACK_RANGE_022
Attack_2,AIT201,262.3045,262.3686,0.9124293785310734,0.02188859644411022,0.8905407820869632,False,Attack_2,AIT201_ATTACK_RANGE_023
Attack_37,AIT201,169.8603,170.0526,0.9493333333333334,0.06959933356622686,0.8797339997671065,False,Attack_37,AIT201_ATTACK_RANGE_024
Attack_8,AIT201,263.2979,263.6504,0.9559014267185474,0.08846456799847896,0.8674368587200685,False,Attack_8,AIT201_ATTACK_RANGE_025
Attack_3,AIT201,263.3299,263.4581,0.9084967320261438,0.05815138672817982,0.8503453452979639,False,Attack_3,AIT201_ATTACK_RANGE_026
Attack_25,AIT202,8.570431,8.580364,0.9755102040816327,0.015580354736104373,0.9599298493455283,False,Attack_25,AIT202_ATTACK_RANGE_000
Attack_10,AIT202,8.364074,8.370802,1.0,0.04404698344901228,0.9559530165509877,False,Attack_10,AIT202_ATTACK_RANGE_001
Attack_3,AIT202,8.445143,8.45059,0.9607843137254902,0.012418861649053162,0.9483654520764371,False,Attack_3,AIT202_ATTACK_RANGE_002
Attack_29,AIT202,8.676814,8.683222,0.9690721649484536,0.03024725934224214,0.9388249056062115,False,Attack_29,AIT202_ATTACK_RANGE_003
Attack_40,AIT202,8.619457,8.625546,0.9747899159663865,0.03842034805890228,0.9363695679074843,False,Attack_40,AIT202_ATTACK_RANGE_004
Attack_31,AIT202,8.672328,8.682901,0.9625850340136054,0.028744570172145652,0.9338404638414598,False,Attack_31,AIT202_ATTACK_RANGE_005
Attack_20,AIT202,8.38394,8.388746,0.9462025316455697,0.014246619446233098,0.9319559121993366,False,Attack_20,AIT202_ATTACK_RANGE_006
Attack_6,AIT202,6.0,8.367277,1.0,0.07312120969250087,0.9268787903074991,False,Attack_6,AIT202_ATTACK_RANGE_007
Attack_36,AIT202,8.684824,8.693796,0.9513888888888888,0.02502960490903219,0.9263592839798567,False,Attack_36,AIT202_ATTACK_RANGE_008
Attack_4,AIT202,8.3675171,8.372725,0.9358974358974359,0.02851700826268913,0.9073804276347468,False,Attack_4,AIT202_ATTACK_RANGE_009
Attack_33,AIT202,8.595425,8.605999,0.9492957746478873,0.048747079203931995,0.9005486954439553,False,Attack_33,AIT202_ATTACK_RANGE_010
Attack_30,AIT202,8.55505,8.597027,0.9455709711846318,0.05031240620992606,0.8952585649747058,False,Attack_30,AIT202_ATTACK_RANGE_011
Attack_19,AIT202,8.384901,8.3918547,0.927536231884058,0.035338808485594286,0.8921974233984638,False,Attack_19,AIT202_ATTACK_RANGE_012
Attack_27,AIT202,8.5365286,8.551205,0.9053954175905395,0.013660825169035462,0.8917345924215041,False,Attack_27,AIT202_ATTACK_RANGE_013
Attack_7,AIT202,8.422071,8.438734,0.924198250728863,0.03380319505973956,0.8903950556691234,False,Attack_7,AIT202_ATTACK_RANGE_014
Attack_38,AIT202,8.690079200000001,8.700846,0.9155555555555556,0.03634611781709177,0.8792094377384638,False,Attack_38,AIT202_ATTACK_RANGE_015
