,precision,recall,f1-score,support
Normal,0.9939973738510598,0.9926938928437617,0.9933452057362452,5338.0
Attack_1,1.0,0.9840425531914894,0.9919571045576407,188.0
Attack_2,0.978021978021978,1.0,0.9888888888888889,89.0
Attack_3,1.0,0.961038961038961,0.9801324503311258,77.0
Attack_4,0.9743589743589743,0.9743589743589743,0.9743589743589743,78.0
Attack_6,0.975609756097561,1.0,0.9876543209876543,40.0
Attack_7,1.0,1.0,1.0,86.0
Attack_8,0.9897435897435898,1.0,0.9948453608247423,193.0
Attack_10,1.0,0.875,0.9333333333333333,32.0
Attack_11,1.0,1.0,1.0,113.0
Attack_13,1.0,1.0,1.0,47.0
Attack_16,0.9655172413793104,1.0,0.9824561403508771,56.0
Attack_17,0.9790209790209791,0.9722222222222222,0.975609756097561,144.0
Attack_19,0.8947368421052632,0.9807692307692307,0.9357798165137615,52.0
Attack_20,1.0,0.9746835443037974,0.9871794871794872,79.0
Attack_21,1.0,0.9862068965517241,0.9930555555555556,145.0
Attack_22,1.0,1.0,1.0,93.0
Attack_23,0.9722222222222222,1.0,0.9859154929577465,140.0
Attack_24,1.0,0.9692307692307692,0.984375,65.0
Attack_25,0.984,1.0,0.9919354838709677,123.0
Attack_26,1.0,1.0,1.0,289.0
Attack_27,1.0,1.0,1.0,339.0
Attack_28,1.0,1.0,1.0,185.0
Attack_29,1.0,0.96,0.9795918367346939,25.0
Attack_30,1.0,1.0,1.0,235.0
Attack_31,1.0,1.0,1.0,74.0
Attack_32,1.0,0.9669421487603306,0.9831932773109243,121.0
Attack_33,0.9885057471264368,0.9662921348314607,0.9772727272727273,89.0
Attack_34,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
Attack_35,1.0,1.0,1.0,97.0
Attack_36,0.9818181818181818,1.0,0.9908256880733946,108.0
Attack_37,0.9791666666666666,1.0,0.9894736842105263,94.0
Attack_38,0.9661016949152542,1.0,0.9827586206896551,57.0
Attack_39,0.9418604651162791,1.0,0.9700598802395209,81.0
Attack_40,0.9836065573770492,1.0,0.9917355371900827,60.0
Attack_41,1.0,1.0,1.0,335.0
accuracy,0.9924371538133788,0.9924371538133788,0.9924371538133788,0.9924371538133788
macro avg,0.9849271994142144,0.9865517300134354,0.9854435050390449,9388.0
weighted avg,0.9925740405557713,0.9924371538133788,0.992445137839503,9388.0
