source_attack,sensor,low,high,target_coverage,other_coverage,specificity_score,fallback_selected,source_attacks,feature_name
Attack_32,AIT203,290.7716,300.2563,0.9333333333333333,0.07168603400043039,0.861647299332903,False,Attack_32,AIT203_ATTACK_RANGE_018
Attack_35,AIT203,288.6696,303.5888,0.9973958333333334,0.1699935608499678,0.8274022724833656,False,Attack_35,AIT203_ATTACK_RANGE_019
Attack_24,AIT402,149.6796,150.5511,0.97265625,0.02002673796791444,0.9526295120320856,False,Attack_24,AIT402_ATTACK_RANGE_000
Attack_29,AIT402,146.3727,146.8854,0.9583333333333334,0.026118210862619808,0.9322151224707136,False,Attack_29,AIT402_ATTACK_RANGE_001
Attack_6,AIT402,155.0372,155.2679,0.9743589743589743,0.043146666666666667,0.9312123076923077,False,Attack_6,AIT402_ATTACK_RANGE_002
Attack_31,AIT402,147.5006,147.9108,0.9522184300341296,0.023311832561625136,0.9289065974725045,False,Attack_31,AIT402_ATTACK_RANGE_003
Attack_13,AIT402,151.9867,152.6275,0.989247311827957,0.07029623698959167,0.9189510748383654,False,Attack_13,AIT402_ATTACK_RANGE_004
Attack_30,AIT402,146.0651,146.8342,0.9444444444444444,0.02690631808278867,0.9175381263616558,False,Attack_30,AIT402_ATTACK_RANGE_005
Attack_26,AIT402,149.1925,150.2692,0.9256055363321799,0.008356164383561644,0.9172493719486182,False,Attack_26,AIT402_ATTACK_RANGE_006
Attack_32,AIT402,145.2961,146.2446,0.9604166666666667,0.04637400473423714,0.9140426619324296,False,Attack_32,AIT402_ATTACK_RANGE_007
Attack_34,AIT402,143.6555,143.8605,0.9375,0.024324036619118587,0.9131759633808814,False,Attack_34,AIT402_ATTACK_RANGE_008
Attack_35,AIT402,142.989,143.6298,0.921875,0.013441725692208629,0.9084332743077914,False,Attack_35,AIT402_ATTACK_RANGE_009
Attack_4,AIT402,154.5501,155.0628,0.9743589743589743,0.06970329905741217,0.9046556753015622,False,Attack_4,AIT402_ATTACK_RANGE_010
Attack_27,AIT402,148.3978,148.9874,0.9289940828402367,0.033329660643455265,0.8956644221967814,False,Attack_27,AIT402_ATTACK_RANGE_011
Attack_17,AIT402,151.5509,152.7813,0.9633507853403142,0.09831998489874066,0.8650308004415734,False,Attack_17,AIT402_ATTACK_RANGE_012
Attack_41,AIT402,144.1425,144.8347,0.9246268656716418,0.07357638506443441,0.8510504806072073,False,Attack_41,AIT402_ATTACK_RANGE_013
Attack_37,AIT402,140.9126,144.809,0.9653333333333334,0.18719991416539256,0.7781334191679408,False,Attack_37,AIT402_ATTACK_RANGE_014
Attack_3,AIT501,7.879582,7.882146,0.9934640522875817,0.00497991967871486,0.9884841326088669,False,Attack_3,AIT501_ATTACK_RANGE_000
Attack_6,AIT501,7.869969,7.870931,1.0,0.022506666666666668,0.9774933333333333,False,Attack_6,AIT501_ATTACK_RANGE_001
