source_attack,sensor,low,high,target_coverage,other_coverage,specificity_score,fallback_selected,source_attacks,feature_name
Attack_39,AIT201,170.0205,170.0205,1.0,0.004743019454418779,0.9952569805455812,False,Attack_39,AIT201_ATTACK_RANGE_000
Attack_33,AIT201,177.3904,177.4545,1.0,0.01933805385688231,0.9806619461431176,False,Attack_33,AIT201_ATTACK_RANGE_001
Attack_10,AIT201,263.1377,263.2018,1.0,0.028125083308896057,0.9718749166911039,False,Attack_10,AIT201_ATTACK_RANGE_002
Attack_35,AIT201,176.6534,176.8777,0.9844155844155844,0.018602029312288614,0.9658135551032958,False,Attack_35,AIT201_ATTACK_RANGE_003
Attack_40,AIT201,170.0526,170.0846,0.9663865546218487,0.001149701879628887,0.9652368527422198,False,Attack_40,AIT201_ATTACK_RANGE_004
Attack_25,AIT201,220.2961,220.3922,0.9775510204081632,0.014401464373199818,0.9631495560349634,False,Attack_25,AIT201_ATTACK_RANGE_005
Attack_29,AIT201,181.1074,181.4278,1.0,0.04134036545735443,0.9586596345426456,False,Attack_29,AIT201_ATTACK_RANGE_006
Attack_6,AIT201,263.4261,263.4581,0.9745222929936306,0.022837628728456325,0.9516846642651743,False,Attack_6,AIT201_ATTACK_RANGE_007
Attack_22,AIT201,239.6821,239.8103,0.9514824797843666,0.00010733068584308254,0.9513751490985235,False,Attack_22,AIT201_ATTACK_RANGE_008
Attack_30,AIT201,181.1074,181.2356,0.9509071504802561,0.0076290120429404395,0.9432781384373157,False,Attack_30,AIT201_ATTACK_RANGE_009
Attack_13,AIT201,260.2538,260.382,0.9518716577540107,0.012763003310904625,0.9391086544431061,False,Attack_13,AIT201_ATTACK_RANGE_010
Attack_17,AIT201,260.0936,260.3179,0.9773519163763066,0.03844597329016593,0.9389059430861406,False,Attack_17,AIT201_ATTACK_RANGE_011
Attack_11,AIT201,263.1056,263.1697,0.9576837416481069,0.019548265662812585,0.9381354759852943,False,Attack_11,AIT201_ATTACK_RANGE_012
Attack_41,AIT201,168.9951,169.7962,0.9574626865671642,0.02146064629879611,0.9360020402683681,False,Attack_41,AIT201_ATTACK_RANGE_013
Attack_27,AIT201,188.5734,190.2717,0.9364375461936437,0.0030039133550129526,0.9334336328386308,False,Attack_27,AIT201_ATTACK_RANGE_014
Attack_38,AIT201,169.8923,169.9244,0.9644444444444444,0.03683113273106324,0.9276133117133812,False,Attack_38,AIT201_ATTACK_RANGE_015
Attack_7,AIT201,263.49331,263.6824,0.924198250728863,0.006247318747318748,0.9179509319815442,False,Attack_7,AIT201_ATTACK_RANGE_016
Attack_24,AIT201,220.07816,220.3922,0.9494163424124513,0.03370606174094484,0.9157102806715065,False,Attack_24,AIT201_ATTACK_RANGE_017
Attack_19,AIT201,251.1856,251.3458,0.9516908212560387,0.03625240435990596,0.9154384168961327,False,Attack_19,AIT201_ATTACK_RANGE_018
Attack_23,AIT201,234.1387,234.4591,0.9139784946236559,0.001429303416844206,0.9125491912068117,False,Attack_23,AIT201_ATTACK_RANGE_019
Attack_20,AIT201,251.2497,251.3138,0.9208860759493671,0.010234975752217131,0.91065110019715,False,Attack_20,AIT201_ATTACK_RANGE_020
Attack_1,AIT201,262.3045,262.6891,0.9441489361702128,0.039282131916393306,0.9048668042538195,False,Attack_1,AIT201_ATTACK_RANGE_021
Attack_2,AIT201,262.3045,262.4007,0.9267605633802817,0.023790365840575044,0.9029701975397066,False,Attack_2,AIT201_ATTACK_RANGE_022
Attack_16,AIT201,261.2151,262.0482,0.918552036199095,0.01643593992196269,0.9021160962771323,False,Attack_16,AIT201_ATTACK_RANGE_023
Attack_37,AIT201,169.8603,170.0205,0.944,0.06596178617432374,0.8780382138256762,False,Attack_37,AIT201_ATTACK_RANGE_024
Attack_32,AIT201,177.6147,183.3504,0.9542619542619543,0.07968674309704506,0.8745752111649092,False,Attack_32,AIT201_ATTACK_RANGE_025
Attack_8,AIT201,263.2979,263.6504,0.9507133592736705,0.08958988824997288,0.8611234710236977,False,Attack_8,AIT201_ATTACK_RANGE_026
Attack_10,AIT202,8.364074,8.370802,1.0,0.04404041481165525,0.9559595851883448,False,Attack_10,AIT202_ATTACK_RANGE_000
Attack_25,AIT202,8.570431,8.580364,0.9714285714285714,0.01604350049799456,0.9553850709305769,False,Attack_25,AIT202_ATTACK_RANGE_001
Attack_3,AIT202,8.445143,8.45059,0.9674267100977199,0.01226829529626058,0.9551584148014592,False,Attack_3,AIT202_ATTACK_RANGE_002
Attack_19,AIT202,8.384901,8.391951,0.9806763285024155,0.040206240649711476,0.940470087852704,False,Attack_19,AIT202_ATTACK_RANGE_003
Attack_29,AIT202,8.676814,8.683222,0.9690721649484536,0.030072984923552287,0.9389991800249013,False,Attack_29,AIT202_ATTACK_RANGE_004
Attack_31,AIT202,8.672328,8.682901,0.9659863945578231,0.028544651225063597,0.9374417433327595,False,Attack_31,AIT202_ATTACK_RANGE_005
