epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro,tau,lr
1,1.1968042534498,0.33055267006483907,0.8982727561725125,0.7648637159578845,0.8030078958564856,0.7742039296005967,1.0,0.01
2,0.2240957100135833,0.14951333513714976,0.9578255801631874,0.8863742206766999,0.9161218397296906,0.8954504602084046,0.8286427728546845,0.009816326530612245
3,0.11916492930371136,0.09259970695876667,0.9713892126735191,0.9458556742965509,0.9389611645803791,0.9394056092978702,0.6866488450043001,0.00963265306122449
4,0.08512592347055538,0.07998798969950603,0.9756278478329978,0.9415354964916707,0.9588431216930045,0.9487085884556821,0.5689866029018297,0.009448979591836736
5,0.07488175866691596,0.06957947990793062,0.9771113701388153,0.945525742776057,0.9694851664186166,0.952720062566204,0.4714866363457394,0.009265306122448979
6,0.06466474527684352,0.06591737849025579,0.9805022782663982,0.9535817529458365,0.9758646441821125,0.9633535242843918,0.3906939937054617,0.009081632653061224
7,0.0573344120567234,0.06183971113204001,0.9787008583236197,0.9429784924311309,0.9814407830027336,0.9581723484306299,0.3237457542817644,0.00889795918367347
8,0.05348188143930702,0.05182747858326996,0.9818798346932288,0.9504342660849178,0.9828368749985761,0.9650276914454451,0.2682695795279726,0.008714285714285714
9,0.051337116866698895,0.07031080208748447,0.9791247218395677,0.9395981830553841,0.9875514801361853,0.9613912551810174,0.2222996482526195,0.00853061224489796
10,0.05023330648278851,0.04375603755022125,0.984317049909929,0.9643507791922319,0.9797736613591843,0.9713246465392574,0.1842069969326716,0.008346938775510205
11,0.04664171823881721,0.051833627497420015,0.98113807354032,0.9528323944360481,0.9823560125627248,0.9660589616085882,0.15264179671752334,0.00816326530612245
12,0.045875965275077826,0.04329321255797427,0.9850588110628378,0.9674879190765867,0.9747962478790525,0.9697394400123918,0.12648552168552962,0.007979591836734693
13,0.04369418445301635,0.03992383575846697,0.9867542651266292,0.9784427431142253,0.9749249672441604,0.9762283319932329,0.10481131341546858,0.007795918367346938
14,0.041577029809754,0.03916937553417581,0.9866482992476423,0.981805196815411,0.9686053081781341,0.9741006266164196,0.08685113737513525,0.007612244897959183
15,0.04084923769403882,0.040557073259307845,0.9863304016106813,0.9724925341642849,0.9725736124849268,0.9714581589843184,0.07196856730011521,0.0074285714285714285
16,0.04091508068950902,0.03997667454405351,0.9851647769418247,0.9685531854316599,0.9710965798078703,0.9668540876894534,0.05963623316594643,0.007244897959183674
17,0.039520233195413965,0.03861087877511563,0.9878139239164989,0.9742958038468803,0.9842271779778832,0.978901360800309,0.04941713361323836,0.007061224489795919
18,0.037997396953790674,0.036473242579869405,0.9868602310056162,0.9723447989867867,0.9740924566095808,0.9718887642315089,0.040949150623804255,0.006877551020408163
19,0.0368414649245659,0.041853181547989414,0.9862244357316944,0.96161087885064,0.9839367767268372,0.9713491010112532,0.03393221771895328,0.006693877551020407
20,0.03673710051872938,0.03331629822408858,0.9888735827063686,0.9774111334742989,0.9788602583845234,0.9775185373220042,0.02811768697974231,0.006510204081632652
21,0.03656357001077336,0.035941274406532345,0.9879198897954858,0.9687803901006069,0.985308820012423,0.975560293424969,0.02329951810515372,0.0063265306122448975
22,0.035702088965351125,0.040152395191963126,0.984317049909929,0.9629254674329704,0.9799037604148517,0.970512985734355,0.019306977288832506,0.006142857142857143
23,0.03412787494286745,0.03926096572092206,0.9851647769418247,0.9854020252688233,0.9534840033354324,0.9668415396772789,0.015998587196060583,0.005959183673469388
24,0.036016279310728976,0.034822952868755114,0.9887676168273816,0.9793052563174486,0.9798863735339065,0.9792667446765956,0.013257113655901088,0.005775510204081632
25,0.0336339103000149,0.035355268074851245,0.9869661968846032,0.9706015107400339,0.9823136254268613,0.9753806411056387,0.010985411419875584,0.005591836734693877
26,0.03353107275202211,0.03423648559519213,0.9881318215534598,0.9705591417413086,0.9860233504265283,0.9772040015382301,0.009102981779915217,0.005408163265306122
27,0.032983746171269236,0.03266649573128566,0.9886616509483946,0.979018508385482,0.9771022487150456,0.9779386510984168,0.007543120063354615,0.0052244897959183665
28,0.03311307207973164,0.03083597412778627,0.9898272756172513,0.9805842454290966,0.9822748446653359,0.9810592791878828,0.006250551925273976,0.0050408163265306125
29,0.032695290840599606,0.033732170815832074,0.9895093779802904,0.9750729596168637,0.9840370914349488,0.979083636405346,0.005179474679231213,0.004857142857142857
30,0.030983602257187555,0.037813724888925544,0.9872840945215641,0.9707110487745693,0.9869721334710909,0.9782293110973631,0.004291934260128779,0.004673469387755102
31,0.032250248468448685,0.03337921692785308,0.9897213097382643,0.9834788184713749,0.9816008504220162,0.9822597777446883,0.0035564803062231288,0.004489795918367346
32,0.03136453807332329,0.036298070289959954,0.9872840945215641,0.976046305034946,0.9829972259523692,0.9790928554333499,0.0029470517025518097,0.004306122448979591
33,0.0323191515113723,0.036486507755843195,0.9854826745787856,0.9672846773964461,0.9836808878937274,0.9739112137567759,0.0024420530945486523,0.004122448979591836
34,0.03189486766605113,0.03695400700488935,0.9880258556744729,0.9748698973346102,0.9838186750996122,0.9789860097979796,0.0020235896477251575,0.0039387755102040815
35,0.03122195913294296,0.03333046680860049,0.9895093779802904,0.9825642770853109,0.9815584534068722,0.9816943148412253,0.0016768329368110084,0.0037551020408163258
36,0.03116287380656973,0.031016496246717425,0.990463070891173,0.9818046732355238,0.9832177680709295,0.9821447699351735,0.0013894954943731374,0.003571428571428571
37,0.03042759274071755,0.029570395466135987,0.9899332414962382,0.9815273147603367,0.9838070082221946,0.9824927969744297,0.001151395399326447,0.003387755102040815
38,0.029762944985578514,0.03140691467935578,0.9896153438592773,0.9813960662003703,0.9813375474092503,0.9810183951532557,0.0009540954763499945,0.003204081632653061
39,0.029938235096005156,0.035468071555605545,0.9877079580375119,0.9738560256971278,0.9878262965292378,0.9804228936758032,0.0007906043210907702,0.0030204081632653054
40,0.030292064485618834,0.029397528412683786,0.990675002649147,0.9828238291907394,0.9823666424840987,0.9823735750428825,0.0006551285568595509,0.0028367346938775505
41,0.029096543854806985,0.032274137874654586,0.9902511391331991,0.9796879144873721,0.9861378883753508,0.9825626326454224,0.0005428675439323859,0.0026530612244897948
42,0.030400260509819338,0.03168292698997961,0.9900392073752252,0.9862968711088711,0.9775608296836329,0.9816262024224301,0.00044984326689694444,0.00246938775510204
43,0.029307500536493822,0.031639100368988794,0.9899332414962382,0.9745969105191976,0.9842368727757379,0.9783146392151656,0.0003727593720314942,0.002285714285714285
44,0.028340339308177618,0.02962436272856548,0.9907809685281339,0.9820802846897999,0.9840461919479816,0.9827806616911717,0.0003088843596477482,0.00210204081632653
45,0.028416352093000998,0.03654905685695237,0.9889795485853555,0.9710082990631691,0.9875242375663473,0.9786145750185962,0.0002559547922699536,0.0019183673469387753
46,0.027986000448651675,0.03184175046384998,0.990463070891173,0.9793830896156825,0.9867866014431335,0.9827078279535372,0.00021209508879201905,0.0017346938775510187
47,0.028139827081864438,0.031239163027963538,0.9902511391331991,0.9803246692145954,0.9857811605438099,0.9827021070737645,0.00017575106248547912,0.0015510204081632638
48,0.027835629699902456,0.030070514572047735,0.9912048320440818,0.9840234794681417,0.9839960003300724,0.9837981758375334,0.00014563484775012445,0.0013673469387755106
49,0.027652654533306197,0.03273786223094274,0.9892974462223164,0.9717960644144631,0.9849219528391071,0.9771864376048293,0.0001206792640639329,0.001183673469387754
50,0.026613290529551727,0.031310523400796895,0.9907809685281339,0.982994645249256,0.9844736803107678,0.9835074587858625,0.0001,0.0009999999999999992
