source_attack,sensor,low,high,target_coverage,other_coverage,specificity_score,fallback_selected,source_attacks,feature_name
Attack_39,AIT201,170.0205,170.0205,1.0,0.0041838759856246315,0.9958161240143754,False,Attack_39,AIT201_ATTACK_RANGE_000
Attack_40,AIT201,170.0526,170.0846,0.9746835443037974,0.0014182499331014183,0.973265294370696,False,Attack_40,AIT201_ATTACK_RANGE_001
Attack_10,AIT201,263.1377,263.2018,1.0,0.028682728994903813,0.9713172710050962,False,Attack_10,AIT201_ATTACK_RANGE_002
Attack_25,AIT201,220.2961,220.3922,0.9815950920245399,0.013605258904035777,0.9679898331205041,False,Attack_25,AIT201_ATTACK_RANGE_003
Attack_35,AIT201,176.6534,176.8777,0.9844155844155844,0.018456826607920047,0.9659587578076644,False,Attack_35,AIT201_ATTACK_RANGE_004
Attack_33,AIT201,177.4225,177.4545,0.9633802816901409,0.0022012240953505854,0.9611790575947903,False,Attack_33,AIT201_ATTACK_RANGE_005
Attack_29,AIT201,181.1074,181.4278,1.0,0.04204212210077313,0.9579578778992268,False,Attack_29,AIT201_ATTACK_RANGE_006
Attack_22,AIT201,239.6821,239.8103,0.9459459459459459,5.371001960415716e-05,0.9458922359263418,False,Attack_22,AIT201_ATTACK_RANGE_007
Attack_6,AIT201,263.4261,263.4581,0.9681528662420382,0.0230173564753004,0.9451355097667378,False,Attack_6,AIT201_ATTACK_RANGE_008
Attack_38,AIT201,169.8923,169.9244,0.9777777777777777,0.036274142635493015,0.9415036351422847,False,Attack_38,AIT201_ATTACK_RANGE_009
Attack_30,AIT201,181.1074,181.2356,0.9477054429028815,0.007744750477229343,0.9399606924256522,False,Attack_30,AIT201_ATTACK_RANGE_010
Attack_41,AIT201,168.9951,169.7962,0.9597014925373134,0.02106598284942234,0.9386355096878911,False,Attack_41,AIT201_ATTACK_RANGE_011
Attack_13,AIT201,260.2538,260.382,0.9516129032258065,0.013174420779776062,0.9384384824460305,False,Attack_13,AIT201_ATTACK_RANGE_012
Attack_17,AIT201,260.0936,260.3179,0.9755671902268761,0.038586164065453364,0.9369810261614228,False,Attack_17,AIT201_ATTACK_RANGE_013
Attack_11,AIT201,263.1056,263.1697,0.9532293986636972,0.020345551429032778,0.9328838472346643,False,Attack_11,AIT201_ATTACK_RANGE_014
Attack_27,AIT201,188.5734,190.2717,0.9327420546932742,0.002978981629613284,0.9297630730636609,False,Attack_27,AIT201_ATTACK_RANGE_015
Attack_24,AIT201,220.1038,220.3922,0.9571984435797666,0.03266398929049531,0.9245344542892713,False,Attack_24,AIT201_ATTACK_RANGE_016
Attack_26,AIT201,206.9021,211.6124,0.921280276816609,0.009656799539107294,0.9116234772775017,False,Attack_26,AIT201_ATTACK_RANGE_017
Attack_16,AIT201,261.2151,262.0482,0.9230769230769231,0.0167709837907238,0.9063059392861993,False,Attack_16,AIT201_ATTACK_RANGE_018
Attack_19,AIT201,251.1856,251.3458,0.9420289855072463,0.03689839572192513,0.9051305897853212,False,Attack_19,AIT201_ATTACK_RANGE_019
Attack_1,AIT201,262.3045,262.8813,0.9454787234042553,0.045719712386379056,0.8997590110178763,False,Attack_1,AIT201_ATTACK_RANGE_020
Attack_23,AIT201,234.12588,234.40782000000002,0.8994614003590664,0.000620782726045884,0.8988406176330205,False,Attack_23,AIT201_ATTACK_RANGE_021
Attack_7,AIT201,263.4325,263.6824,0.9271137026239067,0.030109489051094892,0.8970042135728118,False,Attack_7,AIT201_ATTACK_RANGE_022
Attack_20,AIT201,251.2497,251.3458,0.930379746835443,0.033466520071867206,0.8969132267635758,False,Attack_20,AIT201_ATTACK_RANGE_023
Attack_2,AIT201,262.3045,262.3686,0.9124293785310734,0.021098971894880948,0.8913304066361925,False,Attack_2,AIT201_ATTACK_RANGE_024
Attack_32,AIT201,177.6147,183.3504,0.9542619542619543,0.08088671012228627,0.873375244139668,False,Attack_32,AIT201_ATTACK_RANGE_025
Attack_37,AIT201,169.8603,170.0205,0.9253333333333333,0.06513214439192093,0.8602011889414124,False,Attack_37,AIT201_ATTACK_RANGE_026
Attack_8,AIT201,263.2979,263.6504,0.9468223086900129,0.08850038006298186,0.858321928627031,False,Attack_8,AIT201_ATTACK_RANGE_027
Attack_25,AIT202,8.570431,8.580364,0.9815950920245399,0.015437254162400991,0.9661578378621389,False,Attack_25,AIT202_ATTACK_RANGE_000
Attack_3,AIT202,8.445143,8.45059,0.9705882352941176,0.012224873327792821,0.9583633619663248,False,Attack_3,AIT202_ATTACK_RANGE_001
Attack_19,AIT202,8.384901,8.391951,0.9855072463768116,0.04085561497326203,0.9446516314035496,False,Attack_19,AIT202_ATTACK_RANGE_002
Attack_29,AIT202,8.676814,8.683222,0.9690721649484536,0.0303385763796321,0.9387335885688215,False,Attack_29,AIT202_ATTACK_RANGE_003
Attack_31,AIT202,8.672328,8.682901,0.962457337883959,0.028461167390255667,0.9339961704937034,False,Attack_31,AIT202_ATTACK_RANGE_004
Attack_36,AIT202,8.684824,8.693796,0.9560185185185185,0.024559515803631474,0.931459002714887,False,Attack_36,AIT202_ATTACK_RANGE_005
Attack_4,AIT202,8.368238,8.372725,0.9487179487179487,0.02370290923716316,0.9250150394807856,False,Attack_4,AIT202_ATTACK_RANGE_006
Attack_40,AIT202,8.620739,8.625546,0.9451476793248945,0.035777361519935776,0.9093703178049587,False,Attack_40,AIT202_ATTACK_RANGE_007
Attack_20,AIT202,8.38418,8.388746,0.9145569620253164,0.013890751119573087,0.9006662109057434,False,Attack_20,AIT202_ATTACK_RANGE_008
Attack_13,AIT202,8.391951,8.400282,0.967741935483871,0.07490446540712434,0.8928374700767466,False,Attack_13,AIT202_ATTACK_RANGE_009
Attack_30,AIT202,8.55505,8.597027,0.9413020277481323,0.049768202890646304,0.891533824857486,False,Attack_30,AIT202_ATTACK_RANGE_010
Attack_7,AIT202,8.4194763,8.438734,0.9271137026239067,0.03604014598540146,0.8910735566385052,False,Attack_7,AIT202_ATTACK_RANGE_011
